setid,number,variant,theme,subtheme,year,name,pieces,price,image_url,owned_by,wanted_by,num_reviews,prod_desc,review_difficulty,set_name,star_rating
26498,75174,1,Star Wars,Episode VI,2017,Desert Skiff Escape,277.0,29.99,https://images.brickset.com/sets/images/75174-1.jpg,5097,2447,27.0,Avoid the deadly Sarlacc pit!,Easy,Desert Skiff Escape,4.6
26565,10740,1,Juniors,City,2017,Fire Patrol Suitcase,110.0,19.99,https://images.brickset.com/sets/images/10740-1.jpg,778,153,1.0,Help the firefighters battle the blaze!,Easy,Fire Patrol Suitcase,4.0
26566,10746,1,Juniors,Friends,2017,Mia's Farm Suitcase,100.0,19.99,https://images.brickset.com/sets/images/10746-1.jpg,389,131,2.0,It’s feeding time down at the animal farm!,Easy,Mia's Farm Suitcase,5.0
26567,10747,1,Juniors,Friends,2017,Andrea and Stephanie's Beach Holiday,143.0,29.99,https://images.brickset.com/sets/images/10747-1.jpg,249,172,1.0,Have fun at the seaside with Stephanie and Andrea!,Average,Andrea & Stephanie's Beach Holiday,5.0
26588,10833,1,Duplo,Not Available,2017,Nursery School,39.0,19.99,https://images.brickset.com/sets/images/10833-1.jpg,288,72,2.0,Play and learn all day long at the LEGO® DUPLO® Preschool!,Average,Preschool,5.0
26589,10834,1,Duplo,Not Available,2017,Pizzeria,57.0,29.99,https://images.brickset.com/sets/images/10834-1.jpg,383,89,2.0,Enjoy a delicious pizza at the LEGO® DUPLO® Pizzeria!,Average,Pizzeria,5.0
26562,10735,1,Juniors,City,2017,Police Truck Chase,90.0,19.99,https://images.brickset.com/sets/images/10735-1.jpg,518,189,3.0,Catch the crook before he gets away!,Easy,Police Truck Chase,5.0
26563,10736,1,Juniors,Disney Princess,2017,Anna and Elsa's Frozen Playground,94.0,24.99,https://images.brickset.com/sets/images/10736-1.jpg,936,292,3.0,Play in the snow with Anna and Elsa at the ice palace!,Average,Anna & Elsa's Frozen Playground,4.7
26593,10845,1,Duplo,Not Available,2017,My First Carousel,24.0,24.99,https://images.brickset.com/sets/images/10845-1.jpg,396,69,6.0,Turn the cone to make the carousel spin!,Average,My First Carousel,2.2
26599,10852,1,Duplo,Not Available,2017,My First Parrot,7.0,4.99,https://images.brickset.com/sets/images/10852-1.jpg,345,31,2.0,Watch budding builders take flight with this colorful parrot!,Very Easy,My First Bird,5.0
26597,10850,1,Duplo,Not Available,2017,My First Birthday Cake,8.0,4.99,https://images.brickset.com/sets/images/10850-1.jpg,397,36,2.0,Watch little bakers serve up cute LEGO® DUPLO® cakes!,Easy,My First Cakes,5.0
26704,76086,1,DC Comics Super Heroes,DC Extended Universe,2017,Knightcrawler Tunnel Attack,622.0,49.99,https://images.brickset.com/sets/images/76086-1.jpg,2043,799,6.0,Fight for the Mother Box with Batman’s Knightcrawler!,Average,Knightcrawler Tunnel Attack,5.0
26651,10745,1,Juniors,Cars 3,2017,Florida 500 Final Race,266.0,49.99,https://images.brickset.com/sets/images/10745-1.jpg,887,242,1.0,Race with Disney•Pixar’s Lightning McQueen for the trophy!,Challenging,Florida 500 Final Race,5.0
26736,75530,1,Star Wars,Buildable Figures,2017,Chewbacca,179.0,34.99,https://images.brickset.com/sets/images/75530-1.jpg,2675,810,5.0,Lead the charge with Chewbacca!,Average,Chewbacca™,3.6
26732,75532,1,Star Wars,Buildable Figures,2017,Scout Trooper & Speeder Bike,452.0,54.99,https://images.brickset.com/sets/images/75532-1.jpg,4264,1665,11.0,Set out on speeder bike missions with the Scout Trooper!,Challenging,Scout Trooper™ & Speeder Bike™,4.5
26733,75526,1,Star Wars,Buildable Figures,2017,Elite TIE Fighter Pilot,94.0,19.99,https://images.brickset.com/sets/images/75526-1.jpg,2175,768,1.0,Fly into action with the Elite TIE Fighter Pilot!,Easy,Elite TIE Fighter Pilot™,4.0
26734,75528,1,Star Wars,Buildable Figures,2017,Rey,85.0,24.99,https://images.brickset.com/sets/images/75528-1.jpg,1871,637,3.0,Feel the Force with Rey!,Easy,Rey,4.7
26746,41237,1,DC Super Hero Girls,Not Available,2017,Batgirl Secret Bunker,351.0,44.99,https://images.brickset.com/sets/images/41237-1.jpg,513,332,1.0,Help Batgirl™ nab Mad Harriet™ and recover the microchip!,Average,Batgirl™ Secret Bunker,5.0
26729,21136,1,Minecraft,Minifig-scale,2017,The Ocean Monument,1122.0,119.99,https://images.brickset.com/sets/images/21136-1.jpg,647,551,2.0,Unlock the treasures of the Ocean Monument!,Easy,The Ocean Monument,5.0
26819,70359,1,Nexo Knights,Season 3,2017,Lance vs. Lightning,257.0,24.99,https://images.brickset.com/sets/images/70359-1.jpg,677,454,2.0,Charge Lance into battle against the gargoyles!,Easy,Lance vs. lightning,4.5
26836,40171,1,Friends,Miscellaneous,2017,Hedgehog Storage,249.0,12.99,https://images.brickset.com/sets/images/40171-1.jpg,745,308,2.0,Keep things safe inside this cute buildable hedgehog!,Average,LEGO® Friends Buildable Hedgehog Storage,5.0
26782,10846,1,Duplo,Cars 3,2017,Flo's Café,28.0,39.99,https://images.brickset.com/sets/images/10846-1.jpg,270,82,3.0,"Hang out with Lightning McQueen, Mack and Cruz Ramirez!",Easy,Flo's Café,5.0
26783,10856,1,Duplo,Cars 3,2017,Mater's Shed,23.0,19.99,https://images.brickset.com/sets/images/10856-1.jpg,301,63,1.0,Join in Mater’s video chat with Lightning McQueen!,Easy,Mater´s Shed,5.0
26784,10857,1,Duplo,Cars 3,2017,Piston Cup Race,31.0,29.99,https://images.brickset.com/sets/images/10857-1.jpg,293,64,1.0,Race Lightning McQueen and Jackson Storm for the Piston Cup!,Easy,Piston Cup Race,5.0
26774,10837,1,Duplo,Not Available,2017,Santa's Winter Holiday,45.0,29.99,https://images.brickset.com/sets/images/10837-1.jpg,517,131,5.0,Build your own holiday season fun with Santa and his sleigh!,Easy,Santa's Winter Holiday,4.2
26760,41322,1,Friends,Snow Resort,2017,Snow Resort Ice Rink,307.0,29.99,https://images.brickset.com/sets/images/41322-1.jpg,1365,424,2.0,Glide across the ice and show off your skills!,Average,Snow Resort Ice Rink,4.5
26761,41323,1,Friends,Snow Resort,2017,Snow Resort Chalet,402.0,39.99,https://images.brickset.com/sets/images/41323-1.jpg,1787,608,4.0,Stay cozy and warm in the beautiful log cabin!,Average,Snow Resort Chalet,5.0
