prod_id,num_reviews,piece_count,prod_desc,review_difficulty,difficulty,set_name,star_rating,theme_name,Image,Year,Price
71171,6,267,"With LEGO® Dimensions™, you're gonna need a bigger imagination!",Average,3,Ambulance Helicopter,3.8,City,https://images.brickset.com/sets/images/60179-1.jpg,2018,19.99
71242,5,259,Get spooky with Abby Yates and the Ghostbusters™!,Average,3,Tow Truck Trouble,4.3,City,https://images.brickset.com/sets/images/60137-1.jpg,2017,24.99
71267,2,118,Search for treasure while avoiding the Fratelli family in the Goonies™ Level Pack!,Average,3,Wild River Escape,5,City,https://images.brickset.com/sets/images/60176-1.jpg,2018,19.99
71235,11,96,Go retro with the LEGO® DIMENSIONS™ Midway Arcade™ Level Pack!,Average,3,Sea Rescue Plane,4.3,City,https://images.brickset.com/sets/images/60164-1.jpg,2017,19.99
71266,2,46,Help stop crime in the LEGO® DIMENSIONS™ multiverse with LEGO® City’s Fun Pack,Average,3,Jungle Cargo Helicopter,4.4,City,https://images.brickset.com/sets/images/60158-1.jpg,2017,19.99
71232,4,59,Team up with LEGO® Chima’s™ Eris to outsmart the competition!,Average,3,Switching Tracks,4.1,City,https://images.brickset.com/sets/images/7895-1.jpg,2006,15.99
71042,52,2294,Discover the secrets of the Silent Mary!,Average,3,Straight & Crossroad Plates,3.5,City,https://images.brickset.com/sets/images/7280-1.jpg,2005,14.99
41596,2,116,Bring a classic Disney tale to life with a LEGO® BrickHeadz construction character featuring Beast!,Average,3,T-Junction & Curved Road Plates,3.9,City,https://images.brickset.com/sets/images/7281-1.jpg,2005,14.99
41187,6,460,Heal the baby dragon and transform a goblin from bad to good!,Average,3,Airshow Jet,4.5,City,https://images.brickset.com/sets/images/60177-1.jpg,2018,9.99
41193,2,451,Join forces with Aira and Lumia to protect the Wind Dragon!,Average,3,Jungle Starter Set,4.9,City,https://images.brickset.com/sets/images/60157-1.jpg,2017,9.99
41183,8,339,Search for crystals in the cave with the evil Goblin King!,Average,3,Coast Guard Starter Set,5,City,https://images.brickset.com/sets/images/60163-1.jpg,2017,9.99
41191,2,205,Help Naida defend the Guardian Water Turtle from the shadow bat!,Average,3,Mountain Fugitives,5,City,https://images.brickset.com/sets/images/60171-1.jpg,2018,9.99
41186,2,145,Escape the carnivorous plants with Azari and Firebolt!,Average,3,Mining Team,5,City,https://images.brickset.com/sets/images/60184-1.jpg,2018,9.99
41314,8,622,Make cakes ready for a party at Stephanie’s House!,Average,3,Speed Record Car,5,City,https://images.brickset.com/sets/images/60178-1.jpg,2018,9.99
41340,7,722,Plot mission after mission together at the Friendship House!,Average,3,Off-Road Chase,4.5,City,https://images.brickset.com/sets/images/60170-1.jpg,2018,6.99
41128,8,195,Not Available,Average,3,Jungle Buggy,3.6,City,https://images.brickset.com/sets/images/60156-1.jpg,2017,6.99
41130,17,1124,Not Available,Average,3,Fun in the park - City People Pack,4.6,City,https://images.brickset.com/sets/images/60134-1.jpg,2016,39.99
41127,6,174,Not Available,Average,3,Volcano Heavy-lift Helicopter,4.6,City,https://images.brickset.com/sets/images/60125-1.jpg,2016,149.99
75828,24,556,Speed after Mayhem with the LEGO® Ghostbusters™ Ecto-1 & 2 vehicles!,Average,3,Volcano Exploration Base,4.6,City,https://images.brickset.com/sets/images/60124-1.jpg,2016,119.99
21313,83,962,"Designed by fan creator, Jake Sadovich, Idaho, USA.",Average,3,Police Patrol Boat,3.2,City,https://images.brickset.com/sets/images/60129-1.jpg,2016,49.99
21310,79,2049,Prepare for the ultimate fishing trip!,Average,3,Volcano Supply Helicopter,4.3,City,https://images.brickset.com/sets/images/60123-1.jpg,2016,49.99
21307,51,773,Add quirky vehicle style to your shelf or desk!,Average,3,Volcano Crawler,5,City,https://images.brickset.com/sets/images/60122-1.jpg,2016,39.99
75932,4,360,Play a game of hide and seek with the Velociraptor!,Average,3,Ferry,4.2,City,https://images.brickset.com/sets/images/60119-1.jpg,2016,29.99
75927,2,222,Stage a security breach with a dinosaur lab breakout!,Average,3,LEGO® City Advent Calendar,3.8,City,https://images.brickset.com/sets/images/60155-1.jpg,2017,29.99
76105,52,1363,Create and show off the mighty Hulkbuster!,Average,3,Airport Cargo Plane,4.6,City,https://images.brickset.com/sets/images/60101-1.jpg,2016,24.99
