num_reviews,piece_count,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name
16.0,219,Enter the zombie-spawning dungeon at your peril!,21119,Average,The Dungeon,3.4,Minecraft™
14.0,7,Get the party started with LEGO® Minifigures!,71021,Very Easy,Series 18: Party,4.6,Minifigures
10.0,169,Pack your city with a bunch of new people!,60153,Very Easy,People pack – Fun at the beach,4.1,City
13.0,8,Discover new heroes and villains in LEGO® Minifigures—THE LEGO BATMAN MOVIE Series 2.,71020,Very Easy,THE LEGO® BATMAN MOVIE Series 2,4.8,Minifigures
22.0,8,Bring the NINJAGO® world to life with LEGO® Minifigures!,71019,Very Easy,THE LEGO® NINJAGO® MOVIE™,4.3,Minifigures
26.0,7,"Collect the LEGO® Minifigures, Series 17—A story in every bag!",71018,Very Easy,Series 17,4.1,Minifigures
5.0,1426,Stand your ground and save the realm with the 2-in-1 Knighton Castle!,70357,Challenging,Knighton Castle,2.6,NEXO KNIGHTS™
3.0,604,Deploy Axl's Rolling Arsenal for the biggest battles!,72006,Challenging,Axl's Rolling Arsenal,4.0,NEXO KNIGHTS™
3.0,506,Suit up for a Tech Wizard Showdown with Clay’s 3-in-1 mech!,72004,Average,Tech Wizard Showdown,5.0,NEXO KNIGHTS™
1.0,191,Double the action with the 2-in-1 Twinfector!,72002,Easy,Twinfector,5.0,NEXO KNIGHTS™
1.0,251,Protect Robot Hoodlum from The Bedrock Monster!,70358,Average,Aaron's Stone Destroyer,5.0,NEXO KNIGHTS™
2.0,88,Watch Axl become unstoppable on the battlefield!,70365,Not Available,Battle Suit Axl,4.0,NEXO KNIGHTS™
1.0,98,Stop the Stone stomper with the King’s Guard battle vehicle!,70347,Not Available,King's Guard Artillery,4.0,NEXO KNIGHTS™
17.0,1140,Roll into action with the NEXO KNIGHTS™ 2-in-1 battle castle!,70317,Challenging,The Fortrex,4.9,NEXO KNIGHTS™
3.0,840,Help the heroic knights rescue Ava from Jestro’s head-shaped HQ!,70352,Average,Jestro's Headquarters,5.0,NEXO KNIGHTS™
3.0,670,Protect the spell book from Burnzie in Axl's Tower Carrier!,70322,Average,Axl's Tower Carrier,5.0,NEXO KNIGHTS™
1.0,598,Run rings around the Krakenbeast with Aaron’s 3-in-1 Rock Climber!,70355,Average,Aaron's Rock Climber,5.0,NEXO KNIGHTS™
