SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,USPrice,ImageURL,OwnedBy,WantedBy,Rating
29822,71026,1,Collectable Minifigures,DC Super Heroes,2020,Mister Miracle,1,10,,https://images.brickset.com/sets/images/71026-1.jpg,850,392,
29824,71026,17,Collectable Minifigures,DC Super Heroes,2020,LEGO Minifigures - DC Super Heroes - Complete,16,,,https://images.brickset.com/sets/images/71026-17.jpg,463,505,
29830,10270,1,Creator Expert,Modular Buildings,2020,Bookshop,5,2504,179.99,https://images.brickset.com/sets/images/10270-1.jpg,1235,3845,
29831,71026,2,Collectable Minifigures,DC Super Heroes,2020,Wonder Woman,1,9,,https://images.brickset.com/sets/images/71026-2.jpg,1013,435,
29832,71026,3,Collectable Minifigures,DC Super Heroes,2020,Aquaman,1,8,,https://images.brickset.com/sets/images/71026-3.jpg,1018,393,
29833,71026,4,Collectable Minifigures,DC Super Heroes,2020,Stargirl,1,9,,https://images.brickset.com/sets/images/71026-4.jpg,932,410,
29834,71026,5,Collectable Minifigures,DC Super Heroes,2020,Sinestro,1,10,,https://images.brickset.com/sets/images/71026-5.jpg,859,399,
29835,71026,6,Collectable Minifigures,DC Super Heroes,2020,Cheetah,1,9,,https://images.brickset.com/sets/images/71026-6.jpg,915,443,
29836,71026,7,Collectable Minifigures,DC Super Heroes,2020,Superman,1,9,,https://images.brickset.com/sets/images/71026-7.jpg,954,438,
29837,71026,8,Collectable Minifigures,DC Super Heroes,2020,Green Lantern,1,9,,https://images.brickset.com/sets/images/71026-8.jpg,927,428,
29838,71026,9,Collectable Minifigures,DC Super Heroes,2020,Cyborg,1,8,,https://images.brickset.com/sets/images/71026-9.jpg,810,390,
29839,71026,10,Collectable Minifigures,DC Super Heroes,2020,Batman,1,10,,https://images.brickset.com/sets/images/71026-10.jpg,977,502,
29840,71026,11,Collectable Minifigures,DC Super Heroes,2020,Huntress,1,10,,https://images.brickset.com/sets/images/71026-11.jpg,897,422,
29841,71026,12,Collectable Minifigures,DC Super Heroes,2020,Metamorpho,1,7,,https://images.brickset.com/sets/images/71026-12.jpg,867,377,
29842,71026,13,Collectable Minifigures,DC Super Heroes,2020,Joker,1,11,,https://images.brickset.com/sets/images/71026-13.jpg,1108,442,
29843,71026,14,Collectable Minifigures,DC Super Heroes,2020,Bumblebee,1,10,,https://images.brickset.com/sets/images/71026-14.jpg,867,433,
29844,71026,15,Collectable Minifigures,DC Super Heroes,2020,Flash,1,10,,https://images.brickset.com/sets/images/71026-15.jpg,1117,473,
29845,71026,16,Collectable Minifigures,DC Super Heroes,2020,Bat-Mite,1,9,4.99,https://images.brickset.com/sets/images/71026-16.jpg,964,460,
29854,11009,1,Classic,,2020,Bricks and Lights,,441,29.99,https://images.brickset.com/sets/images/11009-1.jpg,24,116,
29855,76147,1,Marvel Super Heroes,Spider-Man,2020,Vulture's Trucker Robbery,,93,19.99,https://images.brickset.com/sets/images/76147-1.jpg,37,296,
29743,40355,1,Seasonal,Chinese New Year,2020,Year of the Rat,,162,,https://images.brickset.com/sets/images/40355-1.jpg,1559,322,
29744,21051,1,Architecture,Skylines,2020,Tokyo,,547,59.99,https://images.brickset.com/sets/images/21051-1.jpg,380,1429,
29745,21052,1,Architecture,Skylines,2020,Dubai,,740,59.99,https://images.brickset.com/sets/images/21052-1.jpg,300,1190,
29746,41256,1,Trolls: World Tour,,2020,Rainbow Caterbus,,395,39.99,https://images.brickset.com/sets/images/41256-1.jpg,48,230,
29750,10921,1,Duplo,Marvel Super Hero Adventures,2020,Super Heroes Lab,,30,29.99,https://images.brickset.com/sets/images/10921-1.jpg,23,90,
29751,11010,1,Classic,,2020,White Baseplate,,1,7.99,https://images.brickset.com/sets/images/11010-1.jpg,354,700,
29752,10909,1,Duplo,,2020,Heart Box,,80,19.99,https://images.brickset.com/sets/images/10909-1.jpg,11,19,
29753,10913,1,Duplo,,2020,Brick Box,,65,29.99,https://images.brickset.com/sets/images/10913-1.jpg,9,16,
29754,10914,1,Duplo,,2020,Deluxe Brick Box,,85,49.99,https://images.brickset.com/sets/images/10914-1.jpg,7,18,
29755,10915,1,Duplo,,2020,Alphabet Truck,,36,24.99,https://images.brickset.com/sets/images/10915-1.jpg,17,75,
29756,10917,1,Duplo,,2020,Fire Truck,,6,6.99,https://images.brickset.com/sets/images/10917-1.jpg,15,20,
29757,10918,1,Duplo,,2020,Tow Truck,,7,6.99,https://images.brickset.com/sets/images/10918-1.jpg,14,17,
29758,10920,1,Duplo,,2020,Elsa and Olaf's Tea Party,,17,19.99,https://images.brickset.com/sets/images/10920-1.jpg,16,47,
29759,10925,1,Duplo,,2020,Playroom,,17,14.99,https://images.brickset.com/sets/images/10925-1.jpg,11,41,
29760,10926,1,Duplo,,2020,Bedroom,,16,14.99,https://images.brickset.com/sets/images/10926-1.jpg,12,37,
