setid,number,theme,subtheme,year,name,pieces,price,image_url,owned_by,wanted_by,rating
25634,70319-1,Nexo Knights,Season 2,2016,Macy's Thunder Mace,202.0,19.99,https://images.brickset.com/sets/images/70319-1.jpg,1562,452,4.0
26064,30447-1,Marvel Super Heroes,Captain America: Civil War,2016,Captain America's Motorcycle ,25.0,2.0,https://images.brickset.com/sets/images/30447-1.jpg,4394,1241,4.0
26419,60135-1,City,Police,2017,ATV Arrest,47.0,6.99,https://images.brickset.com/sets/images/60135-1.jpg,2562,555,4.0
26420,60138-1,City,Police,2017,High-speed Chase,294.0,39.99,https://images.brickset.com/sets/images/60138-1.jpg,3397,777,4.0
26448,41184-1,Elves,Not Available,2017,Aira's Airship & the Amulet Chase,343.0,39.99,https://images.brickset.com/sets/images/41184-1.jpg,1437,513,4.0
26432,31065-1,Creator,Not Available,2017,Park Street Townhouse,566.0,49.99,https://images.brickset.com/sets/images/31065-1.jpg,3672,2070,4.0
28407,70680-1,Ninjago,Legacy,2019,Monastery Training,122.0,9.99,https://images.brickset.com/sets/images/70680-1.jpg,1349,402,4.0
28403,75235-1,Star Wars,4 Plus,2019,X-wing Starfighter Trench Run,132.0,29.99,https://images.brickset.com/sets/images/75235-1.jpg,1248,829,4.0
28439,60219-1,City,Construction,2019,Construction Loader,88.0,9.99,https://images.brickset.com/sets/images/60219-1.jpg,2180,713,4.0
28463,42093-1,Technic,Not Available,2019,Chevrolet Corvette ZR1,579.0,49.99,https://images.brickset.com/sets/images/42093-1.jpg,2179,722,4.0
28364,76133-1,Marvel Super Heroes,Spider-Man,2019,Spider-Man Car Chase,52.0,9.99,https://images.brickset.com/sets/images/76133-1.jpg,1467,531,4.0
28367,76125-1,Marvel Super Heroes,Avengers: Endgame,2019,Iron Man Hall of Armour,524.0,59.99,https://images.brickset.com/sets/images/76125-1.jpg,4562,1728,4.0
28068,30360-1,City,Arctic,2018,Arctic Ice Saw,43.0,3.44,https://images.brickset.com/sets/images/30360-1.jpg,1998,546,4.0
28155,40320-1,Promotional,Miscellaneous,2018,Plants From Plants,29.0,2.32,https://images.brickset.com/sets/images/40320-1.jpg,2017,501,4.0
