num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country
8,144,4.4,Catch the crook before he tows the safe away!,60137,Easy,Tow Truck Trouble,4.3,City,4,US
1,126,5,Speed after the crook on an exciting river chase!,60176,Easy,Wild River Escape,5,City,4,US
1,127,5,Break up the rocks and discover the treasure inside!,60185,Easy,Mining Power Splitter,5,City,5,US
,115,,Chase down the crook and recover the loot!,10751,,Mountain Police Chase,,Juniors,,US
3,141,4.3,Fly in and save the stranded sailor before he floats away!,60164,Easy,Sea Rescue Plane,4.3,City,4.7,US
5,201,4.3,Fly into the jungle and explore the hidden temple!,60158,Average,Jungle Cargo Helicopter,4.4,City,3.8,US
47,8,4.2,"Switch tracks – build a bigger, more exciting railway track.",7895,Very Easy,Switching Tracks,4.1,City,3.6,US
85,2,4.1,Add roads to your LEGO® town!,7280,Very Easy,Straight & Crossroad Plates,3.5,City,2.3,US
40,2,4.1,Roads for your LEGO® layout!,7281,Very Easy,T-Junction & Curved Road Plates,3.9,City,2.8,US
2,87,4.5,Wow the crowds in the sleek Airshow Jet!,60177,Easy,Airshow Jet,4.5,City,5,US
12,88,4.5,Cruise into the jungle and make a big discovery!,60157,Easy,Jungle Starter Set,4.9,City,4.6,US
,73,,Grab your shovel and get to work!,10750,,Road Repair Truck,,Juniors,,US
4,76,4.8,Rescue the surfer and be a coast guard hero!,60163,Very Easy,Coast Guard Starter Set,5,City,4.5,US
2,88,,Arrest the crooks and recover the hidden loot!,60171,,Mountain Fugitives,5,City,,US
2,82,4.5,Blow up the rock pile and discover gold!,60184,Very Easy,Mining Team,5,City,4,US
1,78,4,Climb in the cockpit and set a new speed record!,60178,Easy,Speed Record Car,5,City,4,US
2,37,4.5,Catch the crook before he escapes with the loot!,60170,Very Easy,Off-Road Chase,4.5,City,5,US
5,53,3.8,Explore the depths of the jungle and find something amazing!,60156,Easy,Jungle Buggy,3.6,City,4.2,US
30,157,4.7,Fill up your city with people!,60134,Very Easy,Fun in the park - City People Pack,4.6,City,4,US
5,1277,5,Help out the volcano explorers and bring in the big equipment!,60125,Average,Volcano Heavy-lift Helicopter,4.6,City,4.2,US
9,824,5,Get busy with some serious scientific work!,60124,Average,Volcano Exploration Base,4.6,City,4.6,US
2,412,4.5,Save the lighthouse and rescue the keeper with the Fire Boat!,60109,Easy,Fire Boat,4.5,City,4,US
2,403,4.5,Stop the crooks from stealing their car again!,60143,,Auto Transport Heist,4,City,3.5,US
5,200,3.8,Keep the crook from escaping his boat ride to prison!,60129,Easy,Police Patrol Boat,3.2,City,2,US
3,330,4.7,Fly in the exploration gear and fly out the crystals!,60123,Easy,Volcano Supply Helicopter,4.3,City,4,US
4,324,5,Bring out the heavy machinery to do exploring right!,60122,Average,Volcano Crawler,5,City,4.5,US
14,301,4,Take the Ferry to your next adventure!,60119,Easy,Ferry,4.2,City,4.2,US
,195,,Rescue the sailor off the rocks just in time!,60168,,Sailboat Rescue,,City,,US
8,248,3.4,Celebrate 24 fun days with the LEGO® City Advent Calendar!,60155,Easy,LEGO® City Advent Calendar,3.8,City,3.5,US
13,157,4.4,Load up the Cargo Plane and get ready to fly!,60101,Easy,Airport Cargo Plane,4.6,City,4.2,US
6,175,4.8,Head off-road and make the big discoveries!,60121,Easy,Volcano Exploration Truck,4.8,City,4.4,US
35,250,4.5,Pack up the gear; it’s time to go camping!,60117,Easy,Van & Caravan,4.6,City,4.6,US
7,138,4.7,Catch the crook before she gets away with the safe!,60142,Easy,Money Transporter,4.4,City,4.1,US
8,80,4.1,Stop the crooks before they empty the ATM!,60136,Easy,Police Starter Set,4.6,City,4.3,US
8,91,4.3,Strap in and jump some ramps!,60146,Easy,Stunt Truck,4.8,City,4.4,US
7,81,4.9,Start your engine and race through the dunes!,60145,Very Easy,Buggy,4.9,City,4.9,US
7,83,4.7,Explore the volcano and make an exciting discovery!,60120,Easy,Volcano Starter Set,4.3,City,4.3,US
10,81,4.4,Help get LEGO® City's mail on the helicopter!,60100,Very Easy,Airport Starter Set,4.9,City,5,US
11,90,3.9,Save the dockworker and put out the blaze!,60106,Easy,Fire Starter Set,4.1,City,4.1,US
5,47,4.3,Chase down the crook with the ATV!,60135,Very Easy,ATV Arrest,4.4,City,4.6,US
4,790,5,"Create all kinds of buildings with LEGO® bricks, windows and doors!",10698,Easy,LEGO® Large Creative Brick Box,5,Classic,5,US
11,484,4.6,Create your own LEGO® vehicles with LEGO Classic!,10696,Easy,LEGO® Medium Creative Brick Box,4.6,Classic,4.7,US
2,213,5,Bring along a world of creativity in your own LEGO® Creative Suitcase!,10713,Very Easy,Creative Suitcase,5,Classic,5,US
8,303,4.8,"Get ideas, get creative and get building!",10693,Easy,LEGO® Creative Supplement,4.9,Classic,4.9,US
7,221,4.3,Get creative with classic LEGO® bricks in 29 different colors!,10692,Easy,LEGO® Creative Bricks,4.1,Classic,4.3,US
24,1,4.3,Add another useful piece to your LEGO® collection with this Gray Baseplate!,10701,Very Easy,Gray Baseplate,4.1,Classic,3.5,US
6,1,4.7,Create your own world on a Blue LEGO® Baseplate!,10714,Very Easy,Blue Baseplate,4.7,Classic,4.3,US
46,1,3.2,Add another useful piece to your LEGO® collection with this Bright Green Baseplate!,10700,Very Easy,Green Baseplate,2.6,Classic,2.5,US
