SetID,Number,Variant,Theme,Subtheme,Year,Name,Pieces,Price,ImageURL,OwnedBy,WantedBy,Rating
10278,60026,1,City,Town,2013,Town Square,914,119.99,https://images.brickset.com/sets/images/60026-1.jpg,4188,3764,5
10264,41015,1,Friends,Summer,2013,Dolphin Cruiser,612,69.99,https://images.brickset.com/sets/images/41015-1.jpg,5139,1192,5
10280,75024,1,Star Wars,The Clone Wars,2013,HH-87 Starhopper,362,39.99,https://images.brickset.com/sets/images/75024-1.jpg,3217,2203,5
10281,75025,1,Star Wars,The Old Republic,2013,Jedi Defender-class Cruiser,927,89.99,https://images.brickset.com/sets/images/75025-1.jpg,4073,3643,5
10295,10663,1,Bricks and More,,2013,Creative Chest,609,,https://images.brickset.com/sets/images/10663-1.jpg,270,328,5
10283,10507,1,Duplo,Trains,2013,My First Train Set,52,44.99,https://images.brickset.com/sets/images/10507-1.jpg,1574,150,5
22665,5001621,1,Star Wars,Episode V,2013,Han Solo (Hoth),5,,https://images.brickset.com/sets/images/5001621-1.jpg,5580,1631,5
10322,30185,1,Creator,,2013,Little Eagle,48,,https://images.brickset.com/sets/images/30185-1.jpg,1226,600,5
22842,40084,1,HERO Factory,,2013,Accessory Pack,6,,https://images.brickset.com/sets/images/40084-1.jpg,433,185,5
22896,71002,6,Collectable Minifigures,Series 11,2013,Gingerbread Man,5,2.99,https://images.brickset.com/sets/images/71002-6.jpg,8036,1805,5
22972,75045,1,Star Wars,The Clone Wars,2014,Republic AV-7 Anti-Vehicle Cannon,434,39.99,https://images.brickset.com/sets/images/75045-1.jpg,3372,3059,5
22983,60054,1,City,Great Vehicles,2014,Light Repair Truck,95,9.99,https://images.brickset.com/sets/images/60054-1.jpg,6595,1717,5
23087,41035,1,Friends,,2014,Heartlake Juice Bar,277,29.99,https://images.brickset.com/sets/images/41035-1.jpg,3584,859,5
23090,41056,1,Friends,,2014,Heartlake News Van,278,24.99,https://images.brickset.com/sets/images/41056-1.jpg,1816,761,5
23068,44022,1,HERO Factory,,2014,EVO XL Machine,193,24.99,https://images.brickset.com/sets/images/44022-1.jpg,811,362,5
23057,31018,1,Creator,,2014,Highway Cruiser,129,12.99,https://images.brickset.com/sets/images/31018-1.jpg,2773,459,5
9673,8909,7,Collectable Minifigures,Team GB,2012,Wondrous Weightlifter,9,2.99,https://images.brickset.com/sets/images/8909-6.jpg,2028,1232,5
9982,31009,1,Creator,,2013,Small Cottage,271,24.99,https://images.brickset.com/sets/images/31009-1.jpg,5703,2151,5
9960,42006,1,Technic,,2013,Excavator,720,79.99,https://images.brickset.com/sets/images/42006-1.jpg,4903,1780,4.4
9887,70505,1,Ninjago,The Final Battle,2013,Temple of Light,565,69.99,https://images.brickset.com/sets/images/70505-1.jpg,2886,1480,5
10003,70703,1,Space,Galaxy Squad,2013,Star Slicer,311,39.99,https://images.brickset.com/sets/images/70703-1.jpg,1659,837,5
10203,70010,1,Legends of Chima,,2013,The Lion CHI Temple,1258,119.99,https://images.brickset.com/sets/images/70010-1.jpg,1806,935,5
9151,9457,1,Ninjago,Rise of the Snakes,2012,Fangpyre Wrecking Ball,415,49.99,https://images.brickset.com/sets/images/9457-1.jpg,912,1152,5
9263,9465,1,Monster Fighters,,2012,The Zombies,447,39.99,https://images.brickset.com/sets/images/9465-1.jpg,2860,2728,5
9553,40056,1,Seasonal,Thanksgiving,2013,Thanksgiving Feast,46,7.99,https://images.brickset.com/sets/images/40056-1.jpg,3073,1163,5
9564,41008,1,Friends,,2013,Heartlake City Pool,423,39.99,https://images.brickset.com/sets/images/41008-1.jpg,4221,735,5
8888,3315,1,Friends,,2012,Olivia's House,695,74.99,https://images.brickset.com/sets/images/3315-1.jpg,5205,989,5
8875,9445,1,Ninjago,Rise of the Snakes,2012,Fangpyre Truck Ambush,452,49.99,https://images.brickset.com/sets/images/9445-1.jpg,2411,1124,5
8877,9395,1,Technic,,2012,Pick-Up Tow Truck,954,69.99,https://images.brickset.com/sets/images/9395-1.jpg,3388,1082,5
8868,9561,1,Ninjago,Spinners,2012,Kai ZX,21,9.99,https://images.brickset.com/sets/images/9561-1.jpg,1117,617,5
8908,7292,1,Creator,,2012,Propeller Adventures,241,19.99,https://images.brickset.com/sets/images/7292-1.jpg,2401,564,5
28,10025,1,Trains,9V,2002,Santa Fe Cars - Set I,326,35,https://images.brickset.com/sets/images/10025-1.jpg,1202,1332,5
5,10002,1,Trains,9V,2001,Railroad Club Car,293,37.5,https://images.brickset.com/sets/images/10002-1.jpg,698,1024,5
66,10070,1,Seasonal,Christmas,2002,Reindeer,26,2.5,https://images.brickset.com/sets/images/10070-1.jpg,449,141,5
108,10153,1,Trains,9V,2002,Train Motor 9 V,3,24.99,https://images.brickset.com/sets/images/10153-1.jpg,1073,344,5
76,10080,1,Seasonal,Christmas,2003,Angel,33,2.49,https://images.brickset.com/sets/images/10080-1.jpg,495,188,5
129,107,2,Town,Special,1985,Mail Truck,31,,https://images.brickset.com/sets/images/107-2.jpg,136,548,5
140,1099,1,Castle,Ninja,1999,Ninja Blaster,24,2,https://images.brickset.com/sets/images/1099-1.jpg,329,400,5
568,1752,1,Castle,Royal Knights,1996,Boat with Armour,21,,https://images.brickset.com/sets/images/1752-1.jpg,1487,537,5
525,171,1,Trains,4.5/12 V,1972,Train Set without Motor,147,,https://images.brickset.com/sets/images/171-1.jpg,467,132,5
586,1788,1,Pirates,,1995,Treasure Chest,159,22,https://images.brickset.com/sets/images/1788-1.jpg,642,1198,5
593,1795,1,Pirates,Imperial Guards,1994,Imperial Cannon,36,,https://images.brickset.com/sets/images/1795-1.jpg,675,761,5
590,1792,1,Town,Leisure,1994,Pleasure Cruiser,66,,https://images.brickset.com/sets/images/1792-1.jpg,178,389,5
633,1872,1,Pirates,,1994,Soldiers Forge,28,,https://images.brickset.com/sets/images/1872-1.jpg,392,696,5
647,1890,1,Town,Racing,1992,Octan Racer,47,,https://images.brickset.com/sets/images/1890-1.jpg,884,324,5
1246,3018,1,Castle,Ninja,1998,LEGO Shogun Go!,25,,https://images.brickset.com/sets/images/3018-1.jpg,203,403,5
1290,3070,1,Space,Insectoids,1999,Mosquito,21,,https://images.brickset.com/sets/images/3070-1.jpg,137,362,5
1293,3073,1,Space,Insectoids,1999,Kana Booster,21,,https://images.brickset.com/sets/images/3073-1.jpg,136,346,5
945,2554,1,Town,Racing,1998,Formula 1 Pit Stop,168,,https://images.brickset.com/sets/images/2554-1.jpg,607,330,5
924,250,1,Books,LEGO,1987,Building Ideas Book,1,3,https://images.brickset.com/sets/images/250-1.jpg,1056,128,5
2193,4544,1,Trains,9V,1994,Car Transport Wagon with Car,143,18.75,https://images.brickset.com/sets/images/4544-1.jpg,974,891,5
2156,4495,1,Star Wars,Mini Building Set,2004,AT-TE,63,7,https://images.brickset.com/sets/images/4495-1.jpg,2725,1257,4.4
2185,4535,1,Trains,9V,2002,LEGO Express Deluxe,762,170,https://images.brickset.com/sets/images/4535-1.jpg,283,874,5
2187,4537,1,Trains,9V,1993,Twin Tank Transporter,174,23,https://images.brickset.com/sets/images/4537-1.jpg,1247,983,5
1939,4093,1,Creator,Inventor Set,2003,Wild Wind-Up,314,25,https://images.brickset.com/sets/images/4093-1.jpg,656,228,5
2377,4883,1,Creator,Designer Set,2005,Gear Grinders,273,20,https://images.brickset.com/sets/images/4883-1.jpg,1010,295,5
